duration,msg_size,experiment,kind,background
0.07262669,268435456,loopback,ringrong,MPI_Iprobe
0.07282042,268435456,loopback,ringrong,MPI_Iprobe
0.0725565,268435456,loopback,ringrong,MPI_Iprobe
0.07275442,268435456,loopback,ringrong,MPI_Iprobe
0.07257474,268435456,loopback,ringrong,MPI_Iprobe
0.07288168,268435456,loopback,ringrong,MPI_Iprobe
0.06533437,268435456,loopback,ringrong,MPI_Iprobe
0.06548046,268435456,loopback,ringrong,MPI_Iprobe
0.06532549,268435456,loopback,ringrong,MPI_Iprobe
0.06528391,268435456,loopback,ringrong,MPI_Iprobe
0.06526887,268435456,loopback,ringrong,MPI_Iprobe
0.06528819,268435456,loopback,ringrong,MPI_Iprobe
0.06546649,268435456,loopback,ringrong,MPI_Iprobe
0.06545133,268435456,loopback,ringrong,MPI_Iprobe
0.06552274,268435456,loopback,ringrong,MPI_Iprobe
0.07274996,268435456,loopback,ringrong,MPI_Iprobe
0.07272388,268435456,loopback,ringrong,MPI_Iprobe
0.07273612,268435456,loopback,ringrong,MPI_Iprobe
0.07272849,268435456,loopback,ringrong,MPI_Iprobe
0.07272003,268435456,loopback,ringrong,MPI_Iprobe
0.07252839,268435456,loopback,ringrong,MPI_Iprobe
0.07245939,268435456,loopback,ringrong,MPI_Iprobe
0.07268634,268435456,loopback,ringrong,MPI_Iprobe
0.07270361,268435456,loopback,ringrong,MPI_Iprobe
0.07268223,268435456,loopback,ringrong,MPI_Iprobe
0.07262886,268435456,loopback,ringrong,MPI_Iprobe
0.07248348,268435456,loopback,ringrong,MPI_Iprobe
0.07259971,268435456,loopback,ringrong,MPI_Iprobe
0.07271023,268435456,loopback,ringrong,MPI_Iprobe
0.07271033,268435456,loopback,ringrong,MPI_Iprobe
0.07262035,268435456,loopback,ringrong,MPI_Iprobe
0.07270298,268435456,loopback,ringrong,MPI_Iprobe
0.07276472,268435456,loopback,ringrong,MPI_Iprobe
0.07256054,268435456,loopback,ringrong,MPI_Iprobe
0.07242915,268435456,loopback,ringrong,MPI_Iprobe
0.07264877,268435456,loopback,ringrong,MPI_Iprobe
0.07273288,268435456,loopback,ringrong,MPI_Iprobe
0.07267759,268435456,loopback,ringrong,MPI_Iprobe
0.07287725,268435456,loopback,ringrong,MPI_Iprobe
0.07267648,268435456,loopback,ringrong,MPI_Iprobe
0.07265159,268435456,loopback,ringrong,MPI_Iprobe
0.07269119,268435456,loopback,ringrong,MPI_Iprobe
0.07267052,268435456,loopback,ringrong,MPI_Iprobe
0.07254803,268435456,loopback,ringrong,MPI_Iprobe
0.07274728,268435456,loopback,ringrong,MPI_Iprobe
0.07265113,268435456,loopback,ringrong,MPI_Iprobe
0.07260261,268435456,loopback,ringrong,MPI_Iprobe
0.07264063,268435456,loopback,ringrong,MPI_Iprobe
0.07288844,268435456,loopback,ringrong,MPI_Iprobe
0.07267481,268435456,loopback,ringrong,MPI_Iprobe
0.07265398,268435456,loopback,ringrong,MPI_Iprobe
0.07254115,268435456,loopback,ringrong,MPI_Iprobe
0.07258128,268435456,loopback,ringrong,MPI_Iprobe
0.07269266,268435456,loopback,ringrong,MPI_Iprobe
0.07274123,268435456,loopback,ringrong,MPI_Iprobe
0.07268945,268435456,loopback,ringrong,MPI_Iprobe
0.07271756,268435456,loopback,ringrong,MPI_Iprobe
0.0725881,268435456,loopback,ringrong,MPI_Iprobe
0.07267858,268435456,loopback,ringrong,MPI_Iprobe
0.07261256,268435456,loopback,ringrong,MPI_Iprobe
0.0726964,268435456,loopback,ringrong,MPI_Iprobe
0.07275938,268435456,loopback,ringrong,MPI_Iprobe
0.07262675,268435456,loopback,ringrong,MPI_Iprobe
0.07266595,268435456,loopback,ringrong,MPI_Iprobe
0.0726521,268435456,loopback,ringrong,MPI_Iprobe
0.07274988,268435456,loopback,ringrong,MPI_Iprobe
0.07256662,268435456,loopback,ringrong,MPI_Iprobe
0.07279553,268435456,loopback,ringrong,MPI_Iprobe
0.0726762,268435456,loopback,ringrong,MPI_Iprobe
0.07277843,268435456,loopback,ringrong,MPI_Iprobe
0.07275245,268435456,loopback,ringrong,MPI_Iprobe
0.07254713,268435456,loopback,ringrong,MPI_Iprobe
0.07264345,268435456,loopback,ringrong,MPI_Iprobe
0.07254295,268435456,loopback,ringrong,MPI_Iprobe
0.0728036,268435456,loopback,ringrong,MPI_Iprobe
0.07271571,268435456,loopback,ringrong,MPI_Iprobe
0.07242116,268435456,loopback,ringrong,MPI_Iprobe
0.07271967,268435456,loopback,ringrong,MPI_Iprobe
0.07251665,268435456,loopback,ringrong,MPI_Iprobe
0.07240819,268435456,loopback,ringrong,MPI_Iprobe
0.07268841,268435456,loopback,ringrong,MPI_Iprobe
0.07263385,268435456,loopback,ringrong,MPI_Iprobe
0.07277026,268435456,loopback,ringrong,MPI_Iprobe
0.07264135,268435456,loopback,ringrong,MPI_Iprobe
0.07267074,268435456,loopback,ringrong,MPI_Iprobe
0.07267758,268435456,loopback,ringrong,MPI_Iprobe
0.07276013,268435456,loopback,ringrong,MPI_Iprobe
0.07258328,268435456,loopback,ringrong,MPI_Iprobe
0.07262814,268435456,loopback,ringrong,MPI_Iprobe
0.07258092,268435456,loopback,ringrong,MPI_Iprobe
0.06583403,268435456,loopback,ringrong,MPI_Iprobe
0.07227628,268435456,loopback,ringrong,MPI_Iprobe
0.06343905,268435456,loopback,ringrong,MPI_Iprobe
0.07222271,268435456,loopback,ringrong,MPI_Iprobe
0.07208855,268435456,loopback,ringrong,MPI_Iprobe
0.07223324,268435456,loopback,ringrong,MPI_Iprobe
0.07246275,268435456,loopback,ringrong,MPI_Iprobe
