jobid,intercept,mnk,mn,mk,nk,tvalue_mnk,tvalue_mn,tvalue_mk,tvalue_nk,intercept_residual,mnk_residual,mn_residual,mk_residual,nk_residual,tvalue_mnk_residual,tvalue_mn_residual,tvalue_mk_residual,tvalue_nk_residual,avg_gflops,function,cluster,node,expfile_hash,cpu,start_time,expfile,exp_kind
1965805,0,7.675682563440542e-11,-3.3877277387019176e-10,2.2672812318440564e-09,3.1970560706690077e-09,122.96075910826733,-1.0963497470564942,11.32113777950063,15.96375066157734,0,6.790026528655649e-14,8.247277157240718e-11,1.4233071101549952e-10,2.579573715443204e-10,0.46846837751922393,1.1495040077244727,3.0608537643730522,5.547430952222407,25.56641410617675,dgemm,dahu,5,dd235e1daae0c6312cb367f05fd16452977875dad9a8f72020ea6a0d66c1e112,0,1607104923,exp_512_00.csv,512
1965805,0,6.989491744295387e-11,-2.952056561238126e-10,2.1675667540883997e-09,2.742592502351538e-09,106.05291920207124,-0.9048837643037042,10.251435066862825,12.971000270091228,0,3.330099914627867e-13,-4.6719732173918054e-11,7.793937478643272e-11,2.4035532292618965e-10,1.8540508201496162,-0.5254795328867674,1.352559691455948,4.171125599963498,28.0751526940391,dgemm,dahu,5,dd235e1daae0c6312cb367f05fd16452977875dad9a8f72020ea6a0d66c1e112,1,1607104923,exp_512_00.csv,512
1965805,0,7.801040983045977e-11,-5.024886961117736e-10,2.383229033664172e-09,3.26461591351333e-09,122.71491987846055,-1.5968429149567671,11.685458100905366,16.007077764681274,0,3.8971126301566677e-13,-1.052258881638196e-10,1.3280791500373813e-10,2.1897905814713453e-10,2.632153188016019,-1.435760147241826,2.795936573160181,4.6100532292258745,25.241952369676447,dgemm,dahu,6,dd235e1daae0c6312cb367f05fd16452977875dad9a8f72020ea6a0d66c1e112,0,1607104923,exp_512_00.csv,512
1965805,0,6.914414804912928e-11,-3.721993126797204e-10,2.252421383502645e-09,2.6833040428249527e-09,98.63976378177813,-1.0726628780164558,10.01570185797602,11.931680938601191,0,4.2511227309835347e-13,-6.108426581213019e-11,5.89889484073486e-11,2.433876611786016e-10,1.9723171051473398,-0.5725238022418774,0.8530586770028525,3.519709400650543,28.432530138761475,dgemm,dahu,6,dd235e1daae0c6312cb367f05fd16452977875dad9a8f72020ea6a0d66c1e112,1,1607104923,exp_512_00.csv,512
1965806,0,7.341656987247718e-11,-1.7273902108785362e-10,2.290728654287684e-09,2.899724892202465e-09,598.3256120465687,-3.071643190988368,40.7337093207568,51.562873083222996,0,4.472349307353941e-13,3.6404306771445773e-11,3.7385969921513116e-11,9.695997297572535e-11,16.1776668447048,2.873225712476542,2.950703902666294,7.652607950590035,25.541306711077933,dgemm,dahu,5,f05f21d76b5fca57aafbbdb382d0f94705523f238830dcc979c5c0aa20872bab,0,1607106467,exp_random_01.csv,random
1965806,0,6.67472694714484e-11,-2.016282200624789e-10,2.1974235308656803e-09,2.819600123408723e-09,563.4038537869276,-3.713423086269355,40.47034322526674,51.92908110317791,0,5.413696901646004e-13,3.18607031677425e-11,3.007449328763156e-11,4.75101421078977e-11,19.008261438919497,2.440847372171301,2.304005894785786,3.6397503502984945,27.99547469258876,dgemm,dahu,5,f05f21d76b5fca57aafbbdb382d0f94705523f238830dcc979c5c0aa20872bab,1,1607106467,exp_random_01.csv,random
1965806,0,7.443812890348161e-11,-1.2694069682648675e-10,2.2584503632879025e-09,3.1075001124372572e-09,675.4903399309694,-2.5133986655095892,44.7168344834787,61.52783804508803,0,5.620465678387867e-13,3.331292418466415e-11,2.919691753152502e-11,5.1939070586381244e-11,25.644615755744734,3.3164500459266235,2.906683242563209,5.17076591885885,25.151847494362045,dgemm,dahu,6,f05f21d76b5fca57aafbbdb382d0f94705523f238830dcc979c5c0aa20872bab,0,1607106467,exp_random_01.csv,random
1965806,0,6.579614584083955e-11,-1.5128851648201295e-10,2.1637409723969144e-09,2.8674907051086875e-09,505.6973644832656,-2.537073257188939,36.28543318557074,48.087152629552335,0,7.168023613929459e-13,4.766898968824585e-11,1.3746811448915888e-11,1.6238683894323502e-11,20.985724962496743,3.045070166557709,0.87813913620052,1.0373186466538105,28.3526954205885,dgemm,dahu,6,f05f21d76b5fca57aafbbdb382d0f94705523f238830dcc979c5c0aa20872bab,1,1607106467,exp_random_01.csv,random
1965807,0,7.69491653982104e-11,-3.221218025363151e-10,3.3157386011881216e-09,4.244633234731833e-09,153.68621850557378,-2.787346411281495,10.746603451557268,13.757233502851685,0,-5.06374574848578e-15,4.8580783910661084e-11,3.0174553896105955e-10,1.17793791684823e-10,-0.04812923922139022,2.0005132775797834,4.654123366329983,1.8168515106355558,25.774405036419843,dgemm,dahu,5,7b0230d253142e4054cbcda196e455f4982237c6ffcde3bbe1766432304c4269,0,1607108493,exp_256_00.csv,256
1965807,0,7.030010841734888e-11,-3.1245074988254275e-10,3.1053098816335777e-09,3.854333854765468e-09,145.53726712910014,-2.802461187490801,10.432372689297743,12.94873902270204,0,7.576419377235212e-15,4.367544074904975e-11,1.5227914861139898e-10,1.7599543024693644e-10,0.0854763269962619,2.1348086630992107,2.7879322337014796,3.222130787069986,28.23505611036654,dgemm,dahu,5,7b0230d253142e4054cbcda196e455f4982237c6ffcde3bbe1766432304c4269,1,1607108493,exp_256_00.csv,256
