node,cpu,kind,expfile,exp_kind,start_time,value,subgroup
6,1,frequency,exp_random_07.csv,random,1607120661.3938339,2.3503210030991757,
6,1,frequency,exp_random_08.csv,random,1607181760.1252759,2.3426461786458423,
6,1,frequency,exp_random_09.csv,random,1607158040.960417,2.359979511880178,
6,1,frequency,exp_random_10.csv,random,1607255137.032752,2.353581295971087,
6,1,frequency,exp_random_11.csv,random,1607265864.0429928,2.342641483987619,
6,1,frequency,exp_random_12.csv,random,1607257164.2858691,2.3575706927083475,
6,1,frequency,exp_random_13.csv,random,1607205129.367094,2.347513755681825,
6,1,frequency,exp_random_14.csv,random,1607234919.420984,2.3513930852272873,
6,1,frequency,exp_random_15.csv,random,1607229767.573266,2.337757568229175,
6,1,frequency,exp_random_16.csv,random,1607226211.7394009,2.348519757747939,
6,1,frequency,exp_random_17.csv,random,1607199981.596239,2.3525133326446435,
6,1,frequency,exp_random_18.csv,random,1607274035.854383,2.3594670940082745,
6,1,frequency,exp_random_19.csv,random,1607217974.543208,2.331239324380175,
6,1,frequency,exp_random_20.csv,random,1607304308.9271822,2.337016396177702,
6,1,frequency,exp_random_21.csv,random,1607292977.6455941,2.343482689049594,
6,1,frequency,exp_random_22.csv,random,1607290936.9174578,2.3454318558884384,
6,1,frequency,exp_random_26.csv,random,1607279743.3642392,2.349016702479349,
6,1,frequency,exp_random_28.csv,random,1607277689.479433,2.343401608471084,
6,1,frequency,exp_random_29.csv,random,1607310996.516315,2.353640494834728,
6,1,frequency,exp_shuffled_00.csv,shuffled,1607183786.007048,2.248491419999999,
6,1,frequency,exp_shuffled_01.csv,shuffled,1607141110.325137,2.2302173984375013,
6,1,frequency,exp_shuffled_02.csv,shuffled,1607156499.244407,2.2400694374999977,
6,1,frequency,exp_shuffled_03.csv,shuffled,1607145717.79025,2.246672990000001,
6,1,frequency,exp_shuffled_04.csv,shuffled,1607147250.7756429,2.233728895833335,
6,1,frequency,exp_shuffled_05.csv,shuffled,1607129863.6055639,2.256882992499998,
6,1,frequency,exp_shuffled_06.csv,shuffled,1607128308.149986,2.2308931475000016,
6,1,frequency,exp_shuffled_07.csv,shuffled,1607172903.772192,2.239339151041665,
6,1,frequency,exp_shuffled_08.csv,shuffled,1607148793.3383482,2.2335297225000024,
6,1,frequency,exp_shuffled_09.csv,shuffled,1607139566.1020758,2.233380403645833,
6,1,frequency,exp_shuffled_10.csv,shuffled,1607248713.842109,2.222261652499999,
6,1,frequency,exp_shuffled_11.csv,shuffled,1607210237.7932281,2.2344378255208324,
6,1,frequency,exp_shuffled_12.csv,shuffled,1607216429.36815,2.2058883925000004,
6,1,frequency,exp_shuffled_13.csv,shuffled,1607193559.125141,2.2215133999999996,
6,1,frequency,exp_shuffled_14.csv,shuffled,1607250402.853873,2.2559120775,
6,1,frequency,exp_shuffled_15.csv,shuffled,1607238481.741199,2.214182033854167,
6,1,frequency,exp_shuffled_16.csv,shuffled,1607192010.505365,2.2524673899999983,
6,1,frequency,exp_shuffled_17.csv,shuffled,1607221541.6914701,2.233600160000001,
6,1,frequency,exp_shuffled_18.csv,shuffled,1607198336.421542,2.229547027500002,
6,1,frequency,exp_shuffled_19.csv,shuffled,1607219999.733706,2.2381381949999994,
6,1,frequency,exp_shuffled_20.csv,shuffled,1607306352.8584268,2.223358469999999,
6,1,frequency,exp_shuffled_22.csv,shuffled,1607298096.557386,2.2526811800000033,
6,1,frequency,exp_shuffled_23.csv,shuffled,1607326916.9083729,2.2387027824999985,
6,1,frequency,exp_shuffled_24.csv,shuffled,1607314583.23952,2.235970226562499,
6,1,frequency,exp_shuffled_25.csv,shuffled,1607319235.0778172,2.2403461536458313,
6,1,temperature,exp_128_00.csv,128,1607138024.236641,65.40364583333333,
6,1,temperature,exp_128_01.csv,128,1607114005.970915,65.615,
6,1,temperature,exp_128_02.csv,128,1607171356.591858,64.93,
6,1,temperature,exp_128_03.csv,128,1607168282.0772831,65.1375,
6,1,temperature,exp_128_04.csv,128,1607150326.613597,65.0275,
6,1,temperature,exp_128_05.csv,128,1607119117.8759098,65.6575,
6,1,temperature,exp_128_06.csv,128,1607178618.8559942,64.9325,
6,1,temperature,exp_128_07.csv,128,1607177073.551363,64.9375,
6,1,temperature,exp_128_08.csv,128,1607162100.521587,65.1225,
6,1,temperature,exp_128_09.csv,128,1607185343.171826,65.35,
