jobid,expfile,m,n,k,node,cpu,duration
1960066,exp_dgemm_c.csv,3941,1803,938,8,0,0.4804053
1960066,exp_dgemm_c.csv,5003,1271,681,8,0,0.3142899
1960066,exp_dgemm_c.csv,3895,895,289,8,0,0.07353031
1960066,exp_dgemm_c.csv,1284,5486,1373,8,0,0.7171089
1960066,exp_dgemm_c.csv,882,6428,707,8,0,0.3006493
1960066,exp_dgemm_c.csv,3943,1454,873,8,0,0.3738198
1960066,exp_dgemm_c.csv,978,1744,4493,8,0,0.6002748
1960066,exp_dgemm_c.csv,1202,5696,535,8,0,0.281507
1960066,exp_dgemm_c.csv,4757,8053,235,8,0,0.6577128000000001
1960066,exp_dgemm_c.csv,13661,774,945,8,0,0.7354696999999999
1960066,exp_dgemm_c.csv,415,502,3157,8,0,0.054252
1960066,exp_dgemm_c.csv,895,3895,289,8,0,0.07509389
1960066,exp_dgemm_c.csv,80,9297,1797,8,0,0.15758270000000002
1960066,exp_dgemm_c.csv,3361,98,12169,8,0,0.3824926
1960066,exp_dgemm_c.csv,2731,355,2063,8,0,0.16519379999999997
1960066,exp_dgemm_c.csv,2562,1224,2765,8,0,0.6657786
1960066,exp_dgemm_c.csv,2226,1767,1101,8,0,0.3298321
1960066,exp_dgemm_c.csv,681,1271,5003,8,0,0.3443321
1960066,exp_dgemm_c.csv,1820,2074,2121,8,0,0.5941914
1960066,exp_dgemm_c.csv,727,8728,893,8,0,0.4305116
1960066,exp_dgemm_c.csv,2613,771,1492,8,0,0.22779789999999997
1960066,exp_dgemm_c.csv,916,9024,242,8,0,0.1482519
1960066,exp_dgemm_c.csv,2702,1840,1074,8,0,0.39117240000000003
1960066,exp_dgemm_c.csv,12401,1918,350,8,0,0.5882569999999999
1960066,exp_dgemm_c.csv,2883,706,2128,8,0,0.3314887
1960066,exp_dgemm_c.csv,2829,349,7084,8,0,0.5583219
1960066,exp_dgemm_c.csv,243,4371,4389,8,0,0.39580640000000006
1960066,exp_dgemm_c.csv,3463,780,1853,8,0,0.3801469
1960066,exp_dgemm_c.csv,3941,938,1803,8,0,0.5043619
1960066,exp_dgemm_c.csv,1186,3199,614,8,0,0.1736181
1960066,exp_dgemm_c.csv,234,4805,8007,8,0,0.7316145000000001
1960066,exp_dgemm_c.csv,80,1797,9297,8,0,0.14887279999999997
1960066,exp_dgemm_c.csv,98,12169,3361,8,0,0.41971040000000004
1960066,exp_dgemm_c.csv,3490,1476,711,8,0,0.2609068
1960066,exp_dgemm_c.csv,456,5162,143,8,0,0.02630298
1960066,exp_dgemm_c.csv,1113,2363,2786,8,0,0.5525918000000001
1960066,exp_dgemm_c.csv,811,720,13709,8,0,0.6236547
1960066,exp_dgemm_c.csv,4435,5969,88,8,0,0.1718699
1960066,exp_dgemm_c.csv,1853,780,3463,8,0,0.38438779999999995
1960066,exp_dgemm_c.csv,2792,981,609,8,0,0.1244982
1960066,exp_dgemm_c.csv,9890,163,408,8,0,0.05644261
1960066,exp_dgemm_c.csv,5696,535,1202,8,0,0.2812761
1960066,exp_dgemm_c.csv,2311,3450,919,8,0,0.5412130999999999
1960066,exp_dgemm_c.csv,1,1,1,8,0,2.577e-06
1960066,exp_dgemm_c.csv,720,811,13709,8,0,0.6145682
1960066,exp_dgemm_c.csv,5696,1202,535,8,0,0.2612505
1960066,exp_dgemm_c.csv,119,12117,3703,8,0,0.5303951
1960066,exp_dgemm_c.csv,325,951,5397,8,0,0.1310116
1960066,exp_dgemm_c.csv,1291,733,6702,8,0,0.4808448
1960066,exp_dgemm_c.csv,733,1291,6702,8,0,0.48726149999999996
1960066,exp_dgemm_c.csv,3450,2311,919,8,0,0.5380543000000001
1960066,exp_dgemm_c.csv,259,1415,2749,8,0,0.08436538
1960066,exp_dgemm_c.csv,11201,344,1210,8,0,0.3595477
1960066,exp_dgemm_c.csv,408,9890,163,8,0,0.05306608
1960066,exp_dgemm_c.csv,1186,614,3199,8,0,0.1847997
1960066,exp_dgemm_c.csv,3703,119,12117,8,0,0.5106956
1960066,exp_dgemm_c.csv,163,408,9890,8,0,0.06491003
1960066,exp_dgemm_c.csv,938,3941,1803,8,0,0.5082981
1960066,exp_dgemm_c.csv,179,565,3328,8,0,0.03114108
1960066,exp_dgemm_c.csv,1739,1350,4119,8,0,0.7316278
1960066,exp_dgemm_c.csv,720,775,8970,8,0,0.3865392
1960066,exp_dgemm_c.csv,815,10033,1018,8,0,0.6182986999999999
1960066,exp_dgemm_c.csv,243,4389,4371,8,0,0.3905008
1960066,exp_dgemm_c.csv,1018,10033,815,8,0,0.6236082
1960066,exp_dgemm_c.csv,1210,11201,344,8,0,0.3408735
1960066,exp_dgemm_c.csv,2303,2019,2149,8,0,0.7533966999999999
1960066,exp_dgemm_c.csv,4805,234,8007,8,0,0.755794
1960066,exp_dgemm_c.csv,2539,5871,626,8,0,0.6931468000000001
1960066,exp_dgemm_c.csv,2883,2128,706,8,0,0.3239154
1960066,exp_dgemm_c.csv,3121,608,1584,8,0,0.23230839999999997
1960066,exp_dgemm_c.csv,4846,199,2770,8,0,0.2278021
1960066,exp_dgemm_c.csv,3385,3567,663,8,0,0.5791957
1960066,exp_dgemm_c.csv,1131,1412,2294,8,0,0.272712
1960066,exp_dgemm_c.csv,129,5206,4976,8,0,0.3299548
1960066,exp_dgemm_c.csv,1328,1637,2760,8,0,0.4487996
1960066,exp_dgemm_c.csv,12169,98,3361,8,0,0.37971459999999996
1960066,exp_dgemm_c.csv,1749,2437,784,8,0,0.2559868
1960066,exp_dgemm_c.csv,3796,1306,1679,8,0,0.6179463000000001
1960066,exp_dgemm_c.csv,11986,798,663,8,0,0.4772984
1960066,exp_dgemm_c.csv,3157,415,502,8,0,0.05203605
1960066,exp_dgemm_c.csv,1224,2562,2765,8,0,0.6654991
1960066,exp_dgemm_c.csv,1739,4119,1350,8,0,0.7380386
1960066,exp_dgemm_c.csv,5486,1284,1373,8,0,0.7244059
1960066,exp_dgemm_c.csv,1131,2294,1412,8,0,0.27857909999999997
1960066,exp_dgemm_c.csv,1271,5003,681,8,0,0.31949690000000003
1960066,exp_dgemm_c.csv,475,5892,596,8,0,0.1287645
