matrix_size,gflops,time,mode,date,jobid
250000,21600.0,482.36,Reality,2021-05-02,2989188
500000,25880.0,3219.96,Reality,2021-05-02,2989188
100000,11480.0,58.06,Reality,2021-04-30,2988671
200000,19570.0,272.55,Reality,2021-04-30,2988671
300000,23230.0,774.78,Reality,2021-04-30,2988671
400000,24570.0,1736.81,Reality,2021-04-30,2988671
500000,26130.0,3189.2,Reality,2021-04-30,2988671
100000,11580.0,57.57,Reality,2021-04-30,2988670
200000,19730.0,270.34,Reality,2021-04-30,2988670
300000,23250.0,774.05,Reality,2021-04-30,2988670
400000,24500.0,1741.4,Reality,2021-04-30,2988670
500000,26110.0,3191.39,Reality,2021-04-30,2988670
400000,24530.0,1739.49,Reality,2021-05-02,2989189
500000,26070.0,3196.06,Reality,2021-05-02,2989189
300000,23360.0,770.58,Reality,2021-05-02,2989189
150000,16890.0,133.22,Reality,2021-05-02,2989189
350000,24300.0,1176.08,Reality,2021-05-02,2989189
200000,19540.0,272.98,Reality,2021-05-02,2989189
250000,21840.0,476.95,Reality,2021-05-02,2989189
50000,4317.0,19.3,Reality,2021-05-02,2989189
100000,11720.0,56.9,Reality,2021-05-02,2989189
450000,25800.0,2354.23,Reality,2021-05-02,2989189
