jobid,host,cpu,mask_size,timestamp,frequency
1889759,dahu-1,0,0,0.0,1.9909240000000001
1889759,dahu-1,0,0,0.0,1.9998960000000001
1889759,dahu-1,0,0,0.0,1.9977170000000002
1889759,dahu-1,0,0,0.0,1.9979730000000002
1889759,dahu-1,0,0,0.0,1.9998960000000001
1889759,dahu-1,0,0,0.0,1.9989990000000002
1889759,dahu-1,0,0,0.0,1.993743
1889759,dahu-1,0,0,0.0,1.9998960000000001
1889759,dahu-1,0,0,0.0,1.9998960000000001
1889759,dahu-1,0,0,0.0,1.9998960000000001
1889759,dahu-1,0,0,0.0,1.9998960000000001
1889759,dahu-1,0,0,0.0,1.9998960000000001
1889759,dahu-1,0,0,0.0,1.9998960000000001
1889759,dahu-1,0,0,0.0,1.9998960000000001
1889759,dahu-1,0,0,0.0,1.9998960000000001
1889759,dahu-1,0,0,0.0,1.9989990000000002
1889759,dahu-1,0,0,1.0039040000000001,1.9687500000000002
1889759,dahu-1,0,0,1.0039040000000001,1.9708
1889759,dahu-1,0,0,1.0039040000000001,1.9693900000000002
1889759,dahu-1,0,0,1.0039040000000001,1.9704160000000002
1889759,dahu-1,0,0,1.0039040000000001,1.970928
1889759,dahu-1,0,0,1.0039040000000001,1.9693900000000002
1889759,dahu-1,0,0,1.0039040000000001,1.969006
1889759,dahu-1,0,0,1.0039040000000001,1.9708
1889759,dahu-1,0,0,1.0039040000000001,1.970928
1889759,dahu-1,0,0,1.0039040000000001,1.970928
1889759,dahu-1,0,0,1.0039040000000001,1.965545
1889759,dahu-1,0,0,1.0039040000000001,1.966571
1889759,dahu-1,0,0,1.0039040000000001,1.9678520000000002
1889759,dahu-1,0,0,1.0039040000000001,1.9678520000000002
1889759,dahu-1,0,0,1.0039040000000001,1.970928
1889759,dahu-1,0,0,1.0039040000000001,1.9693900000000002
1889759,dahu-1,0,0,2.008084,1.962725
1889759,dahu-1,0,0,2.008084,1.9650320000000001
1889759,dahu-1,0,0,2.008084,1.9643920000000001
1889759,dahu-1,0,0,2.008084,1.964263
1889759,dahu-1,0,0,2.008084,1.9641350000000002
1889759,dahu-1,0,0,2.008084,1.9643920000000001
1889759,dahu-1,0,0,2.008084,1.9629820000000002
1889759,dahu-1,0,0,2.008084,1.9650320000000001
1889759,dahu-1,0,0,2.008084,1.9650320000000001
1889759,dahu-1,0,0,2.008084,1.9641350000000002
1889759,dahu-1,0,0,2.008084,1.9633660000000002
1889759,dahu-1,0,0,2.008084,1.9651610000000002
1889759,dahu-1,0,0,2.008084,1.9650320000000001
1889759,dahu-1,0,0,2.008084,1.9651610000000002
1889759,dahu-1,0,0,2.008084,1.9650320000000001
1889759,dahu-1,0,0,2.008084,1.9643920000000001
1889759,dahu-1,0,0,3.012057,1.957983
1889759,dahu-1,0,0,3.012057,1.959777
1889759,dahu-1,0,0,3.012057,1.957983
1889759,dahu-1,0,0,3.012057,1.9599060000000001
1889759,dahu-1,0,0,3.012057,1.959777
1889759,dahu-1,0,0,3.012057,1.957983
1889759,dahu-1,0,0,3.012057,1.961059
1889759,dahu-1,0,0,3.012057,1.959777
1889759,dahu-1,0,0,3.012057,1.9613150000000001
1889759,dahu-1,0,0,3.012057,1.959777
1889759,dahu-1,0,0,3.012057,1.960034
1889759,dahu-1,0,0,3.012057,1.962469
1889759,dahu-1,0,0,3.012057,1.9604180000000002
1889759,dahu-1,0,0,3.012057,1.9625970000000001
1889759,dahu-1,0,0,3.012057,1.9613150000000001
1889759,dahu-1,0,0,3.012057,1.957983
1889759,dahu-1,0,0,4.015932,1.964007
1889759,dahu-1,0,0,4.015932,1.9559320000000002
1889759,dahu-1,0,0,4.015932,1.9659300000000002
1889759,dahu-1,0,0,4.015932,1.960034
1889759,dahu-1,0,0,4.015932,1.9560600000000001
1889759,dahu-1,0,0,4.015932,1.9659300000000002
1889759,dahu-1,0,0,4.015932,1.9618280000000001
1889759,dahu-1,0,0,4.015932,1.9559320000000002
1889759,dahu-1,0,0,4.015932,1.9538810000000002
1889759,dahu-1,0,0,4.015932,1.9559320000000002
1889759,dahu-1,0,0,4.015932,1.96798
1889759,dahu-1,0,0,4.015932,1.952215
1889759,dahu-1,0,0,4.015932,1.9538810000000002
1889759,dahu-1,0,0,4.015932,1.952215
1889759,dahu-1,0,0,4.015932,1.9538810000000002
1889759,dahu-1,0,0,4.015932,1.9659300000000002
1889759,dahu-1,0,0,5.01985,1.9768240000000001
1889759,dahu-1,0,0,5.01985,1.9691340000000002
1889759,dahu-1,0,0,5.01985,1.9769530000000002
1889759,dahu-1,0,0,5.01985,1.972595
1889759,dahu-1,0,0,5.01985,1.9838740000000001
1889759,dahu-1,0,0,5.01985,1.9769530000000002
1889759,dahu-1,0,0,5.01985,1.975799
1889759,dahu-1,0,0,5.01985,1.9691340000000002
1889759,dahu-1,0,0,5.01985,1.98272
1889759,dahu-1,0,0,5.01985,1.9838740000000001
1889759,dahu-1,0,0,5.01985,1.9788750000000002
1889759,dahu-1,0,0,5.01985,1.980798
1889759,dahu-1,0,0,5.01985,1.98272
1889759,dahu-1,0,0,5.01985,1.979516
1889759,dahu-1,0,0,5.01985,1.98272
1889759,dahu-1,0,0,5.01985,1.9769530000000002
1889759,dahu-1,0,0,6.02372,1.962469
