jobid,host,cpu,matrix_content,timestamp,frequency
1889755,dahu-1,0,1,0.0,2.2440670000000003
1889755,dahu-1,0,1,0.0,2.244708
1889755,dahu-1,0,1,0.0,2.2440670000000003
1889755,dahu-1,0,1,0.0,2.24317
1889755,dahu-1,0,1,0.0,2.244195
1889755,dahu-1,0,1,0.0,2.244451
1889755,dahu-1,0,1,0.0,2.24317
1889755,dahu-1,0,1,0.0,2.242913
1889755,dahu-1,0,1,0.0,2.244195
1889755,dahu-1,0,1,0.0,2.2440670000000003
1889755,dahu-1,0,1,0.0,2.244195
1889755,dahu-1,0,1,0.0,2.240222
1889755,dahu-1,0,1,0.0,2.243682
1889755,dahu-1,0,1,0.0,2.246118
1889755,dahu-1,0,1,0.0,2.2448360000000003
1889755,dahu-1,0,1,0.0,2.2440670000000003
1889755,dahu-1,0,1,1.003868,2.240222
1889755,dahu-1,0,1,1.003868,2.2418880000000003
1889755,dahu-1,0,1,1.003868,2.240222
1889755,dahu-1,0,1,1.003868,2.238427
1889755,dahu-1,0,1,1.003868,2.238427
1889755,dahu-1,0,1,1.003868,2.237658
1889755,dahu-1,0,1,1.003868,2.238427
1889755,dahu-1,0,1,1.003868,2.2426570000000003
1889755,dahu-1,0,1,1.003868,2.238427
1889755,dahu-1,0,1,1.003868,2.236376
1889755,dahu-1,0,1,1.003868,2.238427
1889755,dahu-1,0,1,1.003868,2.2403500000000003
1889755,dahu-1,0,1,1.003868,2.240991
1889755,dahu-1,0,1,1.003868,2.2403500000000003
1889755,dahu-1,0,1,1.003868,2.242785
1889755,dahu-1,0,1,1.003868,2.2432980000000002
1889755,dahu-1,0,1,2.007512,2.241375
1889755,dahu-1,0,1,2.007512,2.2440670000000003
1889755,dahu-1,0,1,2.007512,2.241375
1889755,dahu-1,0,1,2.007512,2.242144
1889755,dahu-1,0,1,2.007512,2.241375
1889755,dahu-1,0,1,2.007512,2.244451
1889755,dahu-1,0,1,2.007512,2.242144
1889755,dahu-1,0,1,2.007512,2.244195
1889755,dahu-1,0,1,2.007512,2.241375
1889755,dahu-1,0,1,2.007512,2.241375
1889755,dahu-1,0,1,2.007512,2.241375
1889755,dahu-1,0,1,2.007512,2.237658
1889755,dahu-1,0,1,2.007512,2.2422720000000003
1889755,dahu-1,0,1,2.007512,2.244195
1889755,dahu-1,0,1,2.007512,2.2440670000000003
1889755,dahu-1,0,1,2.007512,2.243426
1889755,dahu-1,0,1,3.0110970000000004,2.236761
1889755,dahu-1,0,1,3.0110970000000004,2.236761
1889755,dahu-1,0,1,3.0110970000000004,2.236761
