jobid,intercept,mnk,mn,mk,nk,tvalue_mnk,tvalue_mn,tvalue_mk,tvalue_nk,intercept_residual,mnk_residual,mn_residual,mk_residual,nk_residual,tvalue_mnk_residual,tvalue_mn_residual,tvalue_mk_residual,tvalue_nk_residual,avg_gflops,function,cluster,node,expfile_hash,cpu,start_time,expfile,exp_kind
1964858,0.002149034375,7.125026109678e-11,1.737502893997323e-10,2.396621531966799e-09,3.366042364157655e-09,503.5409392143884,4.107523000420072,50.82785482196121,76.21723430970958,3.881567638574468e-05,6.286047349142907e-13,4.3105773407186846e-11,3.65247533211863e-11,9.525425149302127e-11,21.045920867429725,4.8276065590620085,3.669708561753459,10.217859726500093,24.978951857348992,dgemm,dahu,5,aa23cca3ed8af2e2ae56ee83997bf4622d167476c7b010513d8609707ebc4616,0,1606771939,exp_dgemm_independent-sizes_7.csv,independent sizes
1964858,0.0020525864375,6.47714843294693e-11,1.5561969915725416e-10,2.274698567070773e-09,3.3679239361741497e-09,500.04226105553636,4.018773908065442,52.6987984377979,83.30487509945327,6.512953117397197e-05,6.448984418184872e-13,3.2990957483041053e-11,2.151848825117153e-11,6.010690186256931e-11,27.75328424846346,4.749240012525671,2.779001697018327,8.287674427358425,27.265599776558037,dgemm,dahu,5,aa23cca3ed8af2e2ae56ee83997bf4622d167476c7b010513d8609707ebc4616,1,1606771939,exp_dgemm_independent-sizes_7.csv,independent sizes
1964858,0.00216975378125,7.265031446169033e-11,1.689063977788454e-10,2.3743593720090376e-09,3.4265821939527223e-09,570.3900256441698,4.435950239948328,55.941598879318676,86.19475909752144,3.400756364899649e-05,5.312110084319448e-13,3.161407724909535e-11,3.5918212185944236e-11,7.592274095416138e-11,20.914939161178378,4.163668944281972,4.243832646362863,9.577379580295206,24.539316159102363,dgemm,dahu,6,aa23cca3ed8af2e2ae56ee83997bf4622d167476c7b010513d8609707ebc4616,0,1606771939,exp_dgemm_independent-sizes_7.csv,independent sizes
1964858,0.00199745396875,6.423608219544023e-11,1.419387103167572e-10,2.2894939772399014e-09,3.1634775386523045e-09,422.62199612118786,3.1237771840503132,45.20292682793214,66.68422212446579,5.378783926096009e-05,6.580587785589101e-13,5.741437879300838e-12,3.824671509044474e-11,3.409479954606462e-11,20.811082963224955,0.6073748511660676,3.62976185785111,3.4546449329963815,27.570261598742054,dgemm,dahu,6,aa23cca3ed8af2e2ae56ee83997bf4622d167476c7b010513d8609707ebc4616,1,1606771939,exp_dgemm_independent-sizes_7.csv,independent sizes
1964858,0.0021219366562499997,6.853263639536408e-11,1.2650978159533306e-10,2.344957688615642e-09,3.330014857595747e-09,471.74152508525486,2.912976060461615,48.43905669052571,73.44092213541079,4.880535583595496e-05,7.092835476539568e-13,2.74330277183881e-11,3.230640015744511e-11,5.9080427102212e-11,24.147028557545475,3.1240911295884883,3.300550454914946,6.444255015588487,25.92474743722667,dgemm,dahu,7,aa23cca3ed8af2e2ae56ee83997bf4622d167476c7b010513d8609707ebc4616,0,1606771939,exp_dgemm_independent-sizes_7.csv,independent sizes
1964858,0.0020135212187499998,6.270325898640177e-11,1.7538833318300077e-10,2.201634221848311e-09,3.3148306911642474e-09,530.1789018545154,4.960656668255448,55.863931075026024,89.8005426715138,6.894248357250211e-05,4.46107573422289e-13,1.166041611705015e-11,3.8062680724662954e-11,4.82911203410103e-11,22.595672698997546,1.9756311725798226,5.785475378336109,7.836790601467808,28.114323045670652,dgemm,dahu,7,aa23cca3ed8af2e2ae56ee83997bf4622d167476c7b010513d8609707ebc4616,1,1606771939,exp_dgemm_independent-sizes_7.csv,independent sizes
1964858,0.002171440375,7.094361552813113e-11,1.6134024545035625e-10,2.429415910290261e-09,3.336766290400087e-09,474.02177797990714,3.606067338220553,48.71254802411224,71.4325327466513,4.7876315466646025e-05,6.43405676864695e-13,2.484197981094256e-11,3.221025015199505e-11,6.8997559801051e-11,19.984324256147048,2.5810530187529426,3.0022902472185624,6.8663129449202485,25.080945435725923,dgemm,dahu,8,aa23cca3ed8af2e2ae56ee83997bf4622d167476c7b010513d8609707ebc4616,0,1606771939,exp_dgemm_independent-sizes_7.csv,independent sizes
1964858,0.0020510973125,6.610039092856323e-11,1.297049670286354e-10,2.3631911223235144e-09,3.1880524091371776e-09,433.56574400493855,2.8458609919855773,46.516151713190936,66.99797370282249,4.6707068519314814e-05,8.386439148490938e-13,3.6695263518279667e-11,4.117126103949265e-11,8.384696097348286e-11,29.402083508713662,4.303448988449267,4.331603284919553,9.418312913949167,26.84035386378259,dgemm,dahu,8,aa23cca3ed8af2e2ae56ee83997bf4622d167476c7b010513d8609707ebc4616,1,1606771939,exp_dgemm_independent-sizes_7.csv,independent sizes
1964859,0.0,7.051430548832946e-11,2.6057895140925253e-10,2.4289448939376256e-09,3.2983238547621026e-09,503.56314448698413,6.371167229373032,58.67654114679702,65.0109939733829,0.0,6.647937146585419e-13,1.676114153377828e-11,1.872499601179295e-11,5.1413186241109846e-11,23.7464179014565,2.049829615696882,2.262575472510276,5.068769326192666,25.503507286163757,dgemm,dahu,5,f1604f7acddf606843a06694854ceacde6622feb6cf5bcfba7270d580b81fb2d,0,1606773812,exp_dgemm_independent-sizes_3.csv,independent sizes
1964859,0.0,6.528791616855278e-11,2.4399834528181553e-10,2.3368639179517658e-09,3.1941542979070985e-09,526.5521639218093,6.737494818119772,63.75469271412859,71.10191413522521,0.0,5.999897567647205e-13,1.3843096441497464e-11,2.5461119179610038e-11,4.6272904549766015e-11,24.08992269227025,1.9029517782686778,3.45811314929206,5.1278479331010764,27.435178219973075,dgemm,dahu,5,f1604f7acddf606843a06694854ceacde6622feb6cf5bcfba7270d580b81fb2d,1,1606773812,exp_dgemm_independent-sizes_3.csv,independent sizes
1964859,0.0,7.245344652905053e-11,2.9353647138992274e-10,2.4280104599189398e-09,3.3745454236596703e-09,612.190842646603,8.491664310147966,69.39824253499856,78.69730580199952,0.0,5.716669563838427e-13,2.0451662738296884e-11,3.1710892495345217e-11,8.455020493653637e-11,24.499952699796506,3.000915362767386,4.597277937623755,10.001234886036471,24.845006780552264,dgemm,dahu,6,f1604f7acddf606843a06694854ceacde6622feb6cf5bcfba7270d580b81fb2d,0,1606773812,exp_dgemm_independent-sizes_3.csv,independent sizes
1964859,0.0,6.444799672335297e-11,2.0926099207078517e-10,2.3075733618493982e-09,3.1104948670648245e-09,459.3819235738987,5.106880878773101,55.64038618119497,61.19427232509038,0.0,6.499579400126996e-13,1.2416408837159734e-11,2.2226673672564008e-11,2.926971333287069e-11,20.690629620267714,1.3532792588439044,2.39349798137346,2.5717202723550434,27.83643885965492,dgemm,dahu,6,f1604f7acddf606843a06694854ceacde6622feb6cf5bcfba7270d580b81fb2d,1,1606773812,exp_dgemm_independent-sizes_3.csv,independent sizes
1964859,0.0,6.839253646470968e-11,2.442554227749785e-10,2.3861437717488904e-09,3.221141436027395e-09,516.5138104190488,6.315684259798148,60.95930040428262,67.1428587488889,0.0,6.436605077652206e-13,2.5421785717967618e-11,2.6574561135306396e-11,7.540381983078395e-11,25.419067892177193,3.437255215973037,3.5500870140803014,8.218885136842651,26.278638228842556,dgemm,dahu,7,f1604f7acddf606843a06694854ceacde6622feb6cf5bcfba7270d580b81fb2d,0,1606773812,exp_dgemm_independent-sizes_3.csv,independent sizes
1964859,0.0,6.2998414979978e-11,2.516503831913912e-10,2.2859941063994244e-09,3.2592685295308127e-09,542.2747541185614,7.416351884542785,66.563325145074,77.43311184453545,0.0,4.2716230409371325e-13,2.1867318173022852e-11,4.2147289463850986e-11,4.205750995809677e-11,19.841978041520434,3.4776873587598014,6.622650453928081,5.392031331075378,28.322259785408445,dgemm,dahu,7,f1604f7acddf606843a06694854ceacde6622feb6cf5bcfba7270d580b81fb2d,1,1606773812,exp_dgemm_independent-sizes_3.csv,independent sizes
1964859,0.0,7.078373342331934e-11,2.5761263708301775e-10,2.462692665322662e-09,3.293948173397097e-09,484.70880904551063,6.039730759591384,57.04634228114958,62.255971601618036,0.0,7.038543909369598e-13,1.5348551367830676e-11,2.128708774548625e-11,5.570547586162909e-11,22.96683425697804,1.7147020710841672,2.3496582574848253,5.016871841405331,25.40479988120062,dgemm,dahu,8,f1604f7acddf606843a06694854ceacde6622feb6cf5bcfba7270d580b81fb2d,0,1606773812,exp_dgemm_independent-sizes_3.csv,independent sizes
1964859,0.0,6.618405379353342e-11,2.6341915298053073e-10,2.388914234409492e-09,3.1541091741343076e-09,483.7833971972016,6.592466216522748,59.07017982937146,63.634278382995866,0.0,7.517310441935919e-13,1.4280593518503476e-11,2.4074800734992282e-11,7.008688319023552e-11,27.819870320787295,1.8094302292949438,3.0138765264425342,7.158897907291079,27.082379890781905,dgemm,dahu,8,f1604f7acddf606843a06694854ceacde6622feb6cf5bcfba7270d580b81fb2d,1,1606773812,exp_dgemm_independent-sizes_3.csv,independent sizes
