node,cpu,kind,expfile,exp_kind,start_time,value,subgroup
5,1,temperature,exp_dgemm_uniform-product_3.csv,uniform product,1606795128.618518,63.77637614678899,
5,1,temperature,exp_dgemm_uniform-product_4.csv,uniform product,1606791160.3963299,63.85034403669725,
5,1,temperature,exp_dgemm_uniform-product_5.csv,uniform product,1606779737.4527612,64.28211009174312,
5,1,temperature,exp_dgemm_uniform-product_6.csv,uniform product,1606785543.645348,63.59710743801653,
5,1,temperature,exp_dgemm_uniform-product_7.csv,uniform product,1606789220.683467,64.54832474226804,
5,1,temperature,exp_dgemm_uniform-product_8.csv,uniform product,1606781742.398974,61.26417525773196,
6,0,frequency,exp_dgemm_independent-sizes_1.csv,independent sizes,1606804897.4976609,2.0315793814432976,
6,0,frequency,exp_dgemm_independent-sizes_2.csv,independent sizes,1606797118.542308,2.0292983382731946,
6,0,frequency,exp_dgemm_independent-sizes_3.csv,independent sizes,1606777804.64556,2.043946219072163,
6,0,frequency,exp_dgemm_independent-sizes_5.csv,independent sizes,1606783674.8298,2.0517950279411767,
6,0,frequency,exp_dgemm_independent-sizes_6.csv,independent sizes,1606800913.3189461,2.024845294458763,
6,0,frequency,exp_dgemm_independent-sizes_7.csv,independent sizes,1606775930.9081979,2.0311235272058776,
6,0,frequency,exp_dgemm_independent-sizes_8.csv,independent sizes,1606799049.66113,2.0542876402616272,
6,0,frequency,exp_dgemm_uniform-product_1.csv,uniform product,1606793148.450793,2.019253659403668,
6,0,frequency,exp_dgemm_uniform-product_2.csv,uniform product,1606802846.8377962,2.0122365098140493,
6,0,frequency,exp_dgemm_uniform-product_3.csv,uniform product,1606795128.618518,2.0153224650229373,
6,0,frequency,exp_dgemm_uniform-product_4.csv,uniform product,1606791160.3963299,2.0036540865825674,
6,0,frequency,exp_dgemm_uniform-product_5.csv,uniform product,1606779737.4527612,2.014890676032112,
6,0,frequency,exp_dgemm_uniform-product_6.csv,uniform product,1606785543.645348,2.0127175816115677,
6,0,frequency,exp_dgemm_uniform-product_7.csv,uniform product,1606789220.683467,2.01013156829897,
6,0,frequency,exp_dgemm_uniform-product_8.csv,uniform product,1606781742.398974,2.038720860824738,
6,0,temperature,exp_dgemm_independent-sizes_1.csv,independent sizes,1606804897.4976609,73.02512886597938,
6,0,temperature,exp_dgemm_independent-sizes_2.csv,independent sizes,1606797118.542308,73.3479381443299,
6,0,temperature,exp_dgemm_independent-sizes_3.csv,independent sizes,1606777804.64556,69.9903350515464,
6,0,temperature,exp_dgemm_independent-sizes_5.csv,independent sizes,1606783674.8298,70.46764705882353,
6,0,temperature,exp_dgemm_independent-sizes_6.csv,independent sizes,1606800913.3189461,73.23711340206185,
6,0,temperature,exp_dgemm_independent-sizes_7.csv,independent sizes,1606775930.9081979,73.29117647058824,
6,0,temperature,exp_dgemm_independent-sizes_8.csv,independent sizes,1606799049.66113,70.57848837209302,
6,0,temperature,exp_dgemm_uniform-product_1.csv,uniform product,1606793148.450793,73.09116972477064,
6,0,temperature,exp_dgemm_uniform-product_2.csv,uniform product,1606802846.8377962,73.68595041322314,
6,0,temperature,exp_dgemm_uniform-product_3.csv,uniform product,1606795128.618518,73.14564220183486,
6,0,temperature,exp_dgemm_uniform-product_4.csv,uniform product,1606791160.3963299,73.07970183486239,
6,0,temperature,exp_dgemm_uniform-product_5.csv,uniform product,1606779737.4527612,73.50114678899082,
6,0,temperature,exp_dgemm_uniform-product_6.csv,uniform product,1606785543.645348,72.99793388429752,
6,0,temperature,exp_dgemm_uniform-product_7.csv,uniform product,1606789220.683467,73.46520618556701,
6,0,temperature,exp_dgemm_uniform-product_8.csv,uniform product,1606781742.398974,67.58376288659794,
6,1,frequency,exp_dgemm_independent-sizes_1.csv,independent sizes,1606804897.4976609,2.3778389046391877,
6,1,frequency,exp_dgemm_independent-sizes_2.csv,independent sizes,1606797118.542308,2.346244788015471,
6,1,frequency,exp_dgemm_independent-sizes_3.csv,independent sizes,1606777804.64556,2.384876117268054,
6,1,frequency,exp_dgemm_independent-sizes_5.csv,independent sizes,1606783674.8298,2.3511926801470655,
6,1,frequency,exp_dgemm_independent-sizes_6.csv,independent sizes,1606800913.3189461,2.3738611365979536,
